point	title	description	iconSize	iconOffset	icon
41.2244949,141.4026187	東通原子力発電所	opérateur : 東京電力株式会社</br>réf : 1</br>mise en service : 2014</br>puissance : 1.385MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.0605866,136.7268284	志賀原子力発電所	opérateur : 北陸電力株式会社</br>réf : 1</br>mise en service : 1993-07-30</br>puissance : 540.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4273330,141.0288890	福島第一原子力発電所	opérateur : 東京電力株式会社</br>réf : 1</br>mise en service : 1971-03-26</br>puissance : 460.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4273610,138.5942220	柏崎刈羽原子力発電所	opérateur : 東京電力株式会社</br>réf : 7</br>mise en service : 1997-07-02</br>puissance : 1.356MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
43.0375000,140.5115560	泊原子力発電所	opérateur : 北海道電力株式会社</br>réf : 2</br>mise en service : 1991-04-12</br>puissance : 579.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.7037220,135.9638060	美浜原子力発電所	opérateur : 関西電力株式会社</br>réf : 2</br>mise en service : 1972-07-25</br>puissance : 500.0kW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
35.5402780,135.6541670	大飯原子力発電所	opérateur : 関西電力株式会社</br>réf : 1</br>mise en service : 1979-03-27</br>puissance : 1.175MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.4273610,138.5942220	柏崎刈羽原子力発電所	opérateur : 東京電力株式会社</br>réf : 3</br>mise en service : 1993-08-11</br>puissance : 1.100MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
37.3166204,141.0235498	福島第二原子力発電所	opérateur : 東京電力株式会社</br>réf : 2</br>mise en service : 1984-02-03</br>puissance : 1.100MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
33.5158887,129.8372504	玄海原子力発電所	opérateur : 九州電力株式会社</br>réf : 3</br>mise en service : 1994-03-18</br>puissance : 1.180MW	32,37	-16,-34	http://www.leretourdelautruche.com/map/icons/radiation.png
